,Name,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,STL,BLK
322,Jakob Poeltl,2011.0,383.0,1802.0,63.0,10.0,52.0,158.0,382.0
287,Dejounte Murray,2358.0,839.0,1264.0,45.0,34.0,75.0,301.0,60.0
213,Tyler Johnson,4301.0,1028.0,1288.0,41.0,35.0,80.0,353.0,173.0
289,Mike Muscala,2771.0,432.0,1486.0,45.0,33.0,86.0,154.0,223.0
40,Bogdan Bogdanovic,3325.0,835.0,800.0,44.0,38.0,83.0,239.0,55.0
371,Tony Snell,3455.0,633.0,1250.0,44.0,40.0,87.0,246.0,128.0
269,Ben McLemore,4560.0,529.0,1226.0,41.0,36.0,77.0,334.0,97.0
359,Mike Scott,4160.0,552.0,1986.0,43.0,32.0,74.0,206.0,80.0
138,Langston Galloway,4200.0,811.0,1237.0,40.0,39.0,84.0,349.0,70.0
12,OG Anunoby,2212.0,286.0,958.0,48.0,37.0,67.0,253.0,109.0
30,Malik Beasley,3150.0,377.0,746.0,44.0,38.0,80.0,187.0,40.0
74,Wendell Carter Jr.,2011.0,313.0,1442.0,53.0,28.0,74.0,125.0,166.0
221,Frank Kaminsky,3348.0,581.0,1420.0,44.0,36.0,71.0,156.0,131.0
53,Miles Bridges,2106.0,328.0,1032.0,46.0,35.0,80.0,133.0,140.0
201,Josh Jackson,2873.0,455.0,988.0,43.0,30.0,68.0,220.0,140.0
33,Davis Bertans,2700.0,351.0,891.0,43.0,41.0,85.0,144.0,132.0
101,Dewayne Dedmon,2905.0,302.0,2764.0,46.0,10.0,73.0,250.0,409.0
56,Dillon Brooks,3095.0,427.0,687.0,42.0,36.0,78.0,209.0,67.0
19,Lonzo Ball,2361.0,1324.0,1182.0,40.0,35.0,56.0,307.0,126.0
410,Derrick White,2004.0,636.0,595.0,46.0,42.0,79.0,139.0,144.0
417,Zion Williamson,1991.0,247.0,537.0,60.0,36.0,67.0,65.0,45.0
64,Reggie Bullock,3413.0,556.0,1032.0,38.0,34.0,79.0,251.0,63.0
362,Iman Shumpert,4281.0,1092.0,1941.0,37.0,30.0,67.0,654.0,160.0
421,Christian Wood,2002.0,135.0,957.0,51.0,34.0,70.0,88.0,132.0
190,Kevin Huerter,2129.0,635.0,671.0,42.0,38.0,78.0,185.0,67.0
240,Meyers Leonard,2502.0,395.0,1737.0,49.0,37.0,77.0,83.0,127.0
129,Dorian Finney-Smith,2199.0,374.0,1350.0,42.0,33.0,74.0,218.0,125.0
178,Solomon Hill,2721.0,735.0,1486.0,38.0,32.0,76.0,337.0,108.0
282,Ja Morant,2128.0,846.0,442.0,46.0,31.0,75.0,101.0,27.0
224,Maxi Kleber,1840.0,263.0,1174.0,46.0,36.0,82.0,110.0,240.0
169,Josh Hart,2111.0,390.0,1313.0,43.0,35.0,73.0,212.0,91.0
301,Royce O'Neale,1620.0,546.0,1319.0,44.0,37.0,80.0,192.0,101.0
174,Willy Hernangomez,1925.0,284.0,1538.0,54.0,31.0,65.0,114.0,112.0
249,Trey Lyles,2717.0,389.0,1574.0,44.0,35.0,70.0,146.0,124.0
303,Jahlil Okafor,2681.0,235.0,1227.0,55.0,19.0,68.0,73.0,211.0
223,Luke Kennard,2078.0,446.0,609.0,45.0,42.0,85.0,100.0,38.0
183,Rondae Hollis-Jefferson,2749.0,573.0,1670.0,44.0,18.0,72.0,277.0,160.0
309,Cedi Osman,2414.0,517.0,869.0,43.0,35.0,69.0,180.0,38.0
95,Seth Curry,3132.0,577.0,603.0,33.0,47.0,47.0,215.0,39.0
252,Boban Marjanovic,2209.0,209.0,1444.0,57.0,11.0,77.0,79.0,126.0
62,Jalen Brunson,1834.0,606.0,497.0,49.0,37.0,77.0,87.0,8.0
216,Tyus Jones,2125.0,1334.0,604.0,42.0,34.0,81.0,373.0,30.0
